m=500, n=35820, k=64, lda=500, alpha=1.0000, ldb=35820, beta=1.0000, ldc=500 
m=500, n=2000, k=64, lda=500, alpha=1.0000, ldb=2000, beta=1.0000, ldc=500   
m=35820, n=64, k=500, lda=500, alpha=1.0000, ldb=500, beta=0.0000, ldc=35820 
m=500, n=64, k=35820, lda=500, alpha=1.0000, ldb=35820, beta=0.0000, ldc=500 
m=500, n=64, k=2000, lda=500, alpha=1.0000, ldb=2000, beta=0.0000, ldc=500   
m=2000, n=64, k=500, lda=500, alpha=1.0000, ldb=500, beta=0.0000, ldc=2000   
m=1000, n=2000, k=64, lda=1000, alpha=1.0000, ldb=2000, beta=1.0000, ldc=1000
m=2000, n=64, k=1000, lda=1000, alpha=1.0000, ldb=1000, beta=0.0000, ldc=2000
m=1000, n=64, k=2000, lda=1000, alpha=1.0000, ldb=2000, beta=0.0000, ldc=1000
m=500, n=1, k=25, lda=500, alpha=1.0000, ldb=25, beta=0.0000, ldc=500   
